step,boundary,start_monotonic,lateness_ms,overrun,reanchored,measured_act_shoulder_pan,measured_act_shoulder_lift,measured_act_elbow_flex,measured_act_wrist_flex,measured_act_wrist_roll,measured_act_gripper,policy_act_shoulder_pan,policy_act_shoulder_lift,policy_act_elbow_flex,policy_act_wrist_flex,policy_act_wrist_roll,policy_act_gripper,requested_act_shoulder_pan,requested_act_shoulder_lift,requested_act_elbow_flex,requested_act_wrist_flex,requested_act_wrist_roll,requested_act_gripper,executed_act_shoulder_pan,executed_act_shoulder_lift,executed_act_elbow_flex,executed_act_wrist_flex,executed_act_wrist_roll,executed_act_gripper,sent_physical_shoulder_pan,sent_physical_shoulder_lift,sent_physical_elbow_flex,sent_physical_wrist_flex,sent_physical_wrist_roll,sent_physical_gripper,returned_physical_shoulder_pan,returned_physical_shoulder_lift,returned_physical_elbow_flex,returned_physical_wrist_flex,returned_physical_wrist_roll,returned_physical_gripper,raw_goal_ticks_shoulder_pan,raw_goal_ticks_shoulder_lift,raw_goal_ticks_elbow_flex,raw_goal_ticks_wrist_flex,raw_goal_ticks_wrist_roll,raw_goal_ticks_gripper,hold_reason,consecutive_holds,frame_seq,frame_unix_time,frame_age_ms,read_ms,observe_ms,infer_ms,gate_ms,send_ms,step_ms
33,0,1.1,-29.571,0,0,0.001721,-2.783831,2.881208,1.404041,-0.034523,0.254477,-0.015443,-2.795156,2.803528,1.365758,-0.042041,0.262272,-0.015443,-2.795156,2.803528,1.365758,-0.042041,0.262272,-0.015443,-2.795156,2.803528,1.365758,-0.042041,0.262272,-0.491570,-88.972580,89.239075,43.473419,-1.338196,15.427741,-0.491570,-88.972580,89.239075,43.473419,-1.338196,15.427741,1948,1067,3047,2501,2020,2144,,0,,,,1.43,,0.05,0.49,1.52,33.20
34,0,1.1333333333333333,-29.822,0,0,0.001721,-2.783831,2.881208,1.401296,-0.034523,0.254477,-0.019242,-2.803555,2.812779,1.366069,-0.042698,0.261781,-0.019242,-2.803555,2.812779,1.366069,-0.042698,0.261781,-0.019242,-2.803555,2.812779,1.366069,-0.042698,0.261781,-0.612488,-89.239937,89.533524,43.483322,-1.359131,15.398872,-0.612488,-89.239937,89.533524,43.483322,-1.359131,15.398872,1946,1064,3050,2501,2019,2144,,0,,,,1.38,,0.02,0.37,1.47,33.20
35,0,1.1666666666666667,-29.584,0,0,0.001721,-2.783831,2.881208,1.395806,-0.034523,0.254477,-0.023891,-2.811563,2.823237,1.366181,-0.043316,0.260027,-0.023891,-2.811563,2.823237,1.366181,-0.043316,0.260027,-0.023891,-2.811563,2.823237,1.366181,-0.043316,0.260027,-0.760475,-89.494827,89.866425,43.486893,-1.378792,15.295717,-0.760475,-89.494827,89.866425,43.486893,-1.378792,15.295717,1945,1062,3054,2501,2019,2142,,0,,,,1.41,,0.03,0.42,1.58,33.20
36,0,1.2,-29.671,0,0,0.001721,-2.783831,2.881208,1.395806,-0.034523,0.254477,-0.028414,-2.817871,2.834118,1.364557,-0.043858,0.257185,-0.028414,-2.817871,2.834118,1.364557,-0.043858,0.257185,-0.028414,-2.817871,2.834118,1.364557,-0.043858,0.257185,-0.904442,-89.695602,90.212769,43.435196,-1.396034,15.128502,-0.904442,-89.695602,90.212769,43.435196,-1.396034,15.128502,1944,1059,3058,2500,2018,2140,,0,,,,1.41,,0.02,0.41,1.53,33.23
37,0,1.2333333333333334,-29.118,0,0,0.001721,-2.783831,2.881208,1.395806,-0.034523,0.254477,-0.032200,-2.821906,2.845272,1.360404,-0.044286,0.253879,-0.032200,-2.821906,2.845272,1.360404,-0.044286,0.253879,-0.032199,-2.821906,2.845272,1.360404,-0.044286,0.253879,-1.024940,-89.824066,90.567825,43.302994,-1.409683,14.934066,-1.024940,-89.824066,90.567825,43.302994,-1.409683,14.934066,1943,1058,3062,2499,2018,2137,,0,,,,1.47,,0.03,0.45,1.66,32.93
38,0,1.2666666666666666,-29.202,0,0,0.001721,-2.783831,2.881208,1.395806,-0.034523,0.254477,-0.035198,-2.823813,2.856690,1.353691,-0.044607,0.250838,-0.035198,-2.823813,2.856690,1.353691,-0.044607,0.250838,-0.035198,-2.823813,2.856690,1.353691,-0.044608,0.250838,-1.120399,-89.884758,90.931274,43.089325,-1.419899,14.755180,-1.120399,-89.884758,90.931274,43.089325,-1.419899,14.755180,1942,1057,3066,2496,2018,2134,,0,,,,1.68,,0.03,0.50,1.61,33.21
39,0,1.3,-29.261,0,0,0.001721,-2.792216,2.881208,1.395806,-0.034523,0.254477,-0.036854,-2.823904,2.867962,1.344561,-0.044806,0.248625,-0.036854,-2.823904,2.867962,1.344561,-0.044806,0.248625,-0.036854,-2.823904,2.867962,1.344561,-0.044806,0.248625,-1.173088,-89.887642,91.290054,42.798706,-1.426224,14.625013,-1.173088,-89.887642,91.290054,42.798706,-1.426224,14.625013,1941,1057,3070,2493,2018,2132,,0,,,,1.69,,0.02,0.39,1.68,33.22
40,0,1.3333333333333333,-29.705,0,0,0.001721,-2.797806,2.884039,1.395806,-0.034523,0.254477,-0.036188,-2.822420,2.878660,1.333405,-0.044856,0.247543,-0.036188,-2.822420,2.878660,1.333405,-0.044856,0.247543,-0.036188,-2.822420,2.878660,1.333405,-0.044856,0.247543,-1.151894,-89.840416,91.630600,42.443588,-1.427826,14.561358,-1.151894,-89.840416,91.630600,42.443588,-1.427826,14.561358,1941,1058,3074,2489,2018,2132,,0,,,,1.42,,0.02,0.38,1.51,33.18
41,0,1.3666666666666667,-29.744,0,0,0.001721,-2.803396,2.892530,1.387571,-0.034523,0.254477,-0.032877,-2.819764,2.888886,1.321295,-0.044762,0.247601,-0.032877,-2.819764,2.888886,1.321295,-0.044762,0.247601,-0.032878,-2.819764,2.888886,1.321295,-0.044762,0.247601,-1.046524,-89.755875,91.956085,42.058105,-1.424828,14.564776,-1.046524,-89.755875,91.956085,42.058105,-1.424828,14.564776,1942,1059,3077,2484,2018,2132,,0,,,,1.40,,0.02,0.36,1.55,33.21
42,0,1.4,-29.439,0,0,-0.001721,-2.806191,2.906681,1.376591,-0.034523,0.254477,-0.027525,-2.816497,2.898986,1.309433,-0.044518,0.248479,-0.027525,-2.816497,2.898986,1.309433,-0.044518,0.248479,-0.027525,-2.816497,2.898986,1.309434,-0.044518,0.248479,-0.876144,-89.651871,92.277573,41.680557,-1.417046,14.616415,-0.876144,-89.651871,92.277573,41.680557,-1.417046,14.616415,1944,1060,3081,2480,2018,2132,,0,,,,1.43,,0.02,0.46,1.71,33.17
